id	rate
22095	70
22099	129
22103	242
22105	738
22109	376
22111	27
22113	89
22119	94
22121	53
22125	38
22003	18
22007	85
22009	121
22011	18
22013	63
22021	21
22029	77
22039	31
22041	38
22049	6
22059	40
22061	62
22065	25
22069	60
22081	33
22083	76
22085	8
22097	228
22101	148
22107	7
22115	87
22117	187
22123	48
22127	18
23001	14
23005	21
23019	5
23023	6
23031	26
23003	2
23007	7
23009	1
23011	26
23013	17
23015	31
23017	18
23021	6
23025	29
23027	11
23029	17
24001	23
24003	0
24003	2053
24510	0
24510	4397
24009	121
24013	100
24015	90
24017	527
24021	185
24025	384
24027	0
24027	712
24031	0
24031	1749
24033	10
24035	72
24039	24
24037	202
24043	193
24045	105
24047	13
24011	17
24019	10
24023	45
24029	8
24041	22
26015	34
26017	44
26021	122
26025	121
26027	50
26037	23
26045	164
26049	67
26065	146
26075	218
26077	297
26081	386
26087	60
26093	70
26099	322
26111	50
26115	167
26117	54
26121	66
26125	33
26139	559
26145	98
26147	189
26159	120
26161	588
26163	6
26001	10
26003	0
26005	131
26007	10
26009	15
26011	29
26013	3
26019	18
26023	10
26029	21
26031	7
26033	6
26035	90
26039	18
26041	9
26047	28
26051	27
26053	6
26055	125
26057	21
26059	30
26061	13
26063	24
26067	45
26069	0
26071	8
26073	48
26079	60
26083	3
26085	20
26089	12
26091	30
26095	20
26097	6
26101	36
26103	13
26105	28
26107	241
26109	16
26113	21
26119	4
26123	45
26127	32
26129	22
26131	13
26133	45
26135	27
26137	13
26141	5
26143	19
26151	45
26155	23
26149	54
26157	43
26165	41
27003	44
27013	15
27017	19
27019	49
27025	12
27027	5
27037	32
27039	4
27045	7
27053	19
27055	4
27059	28
27079	5
27095	23
27103	3
27109	23
27119	30
27123	63
27141	35
27143	4
27145	47
27137	51
27157	6
27163	75
27171	97
27001	11
27005	17
27007	52
27011	1
27015	4
27021	54
27023	1
27029	16
27031	5
27033	2
27035	24
27041	14
27043	2
27047	3
27049	19
27051	1
27057	20
27061	37
27063	2
27065	22
27067	22
27069	1
27073	1
27075	1
27077	1
27081	12
27083	3
27089	5
27091	2
27085	14
27093	17
27099	10
27101	1
27105	4
27107	0
27111	20
27113	2
27115	78
27121	4
27125	0
27127	6
27129	7
27131	16
27133	36
27135	1
27147	13
27149	5
27151	2
27153	22
27155	1
27159	1
27161	3
27165	4
27167	3
27169	12
27173	4
28033	36
28045	42
28047	59
28049	89
28059	114
28073	96
28089	24
28093	3
28121	36
28143	34
28019	3
28021	22
28043	9
28067	142
28069	10
28075	53
28085	16
28091	41
28105	40
28107	102
28123	34
28131	34
28133	24
28149	17
28151	20
29003	33
29013	50
29017	87
29019	125
29021	28
29025	17
29027	117
29031	33
29037	60
29043	95
29047	50
29049	24
29051	42
29059	22
29063	5
29071	71
29077	83
29095	85
29097	123
29099	196
29107	10
29113	132
29119	101
29135	1
29145	
29151	3
29165	41
29167	50
29177	102
29183	0
29183	114
29189	1784
29219	68
29225	11
29001	8
29005	1
29007	22
29009	40
29011	27
29015	80
29023	86
29029	
29033	3
29035	36
29039	37
29041	13
29045	12
29053	7
29055	20
29057	28
29061	9
29065	7
29067	17
29069	22
29073	18
29075	4
29079	2
29081	2
29083	54
29085	0
29087	5
29089	9
29091	53
29093	16
29101	38
29103	0
29105	45
29109	60
29111	3
29115	10
29117	1
29121	14
29123	17
29125	10
29127	8
29129	0
29131	61
29133	9
29137	5
29139	12
29141	36
29147	7
29149	12
29153	15
29155	23
29157	36
29159	29
29161	19
29163	2
29169	65
29171	0
29173	19
29175	10
29179	11
29181	15
29195	5
29197	7
29199	6
29201	178
29203	24
29205	3
29185	22
29186	31
29187	70
29207	15
29209	130
29211	9
29213	93
29215	21
29217	68
29221	106
29223	20
29227	1
29229	26
30009	15
30013	27
30037	2
30063	93
30111	91
30001	3
30003	71
30005	10
30007	28
30011	0
30017	9
30019	0
30021	18
30023	37
30025	2
30027	32
30029	191
30031	73
