id	rate
27135	0
27147	10
27149	1
27151	2
27153	9
27155	1
27159	1
27161	1
27165	2
27167	1
27169	11
27173	3
28033	27
28045	38
28047	40
28049	68
28059	57
28073	79
28089	15
28093	2
28121	28
28143	18
28019	3
28021	14
28043	6
28067	82
28069	7
28075	15
28085	12
28091	26
28105	26
28107	92
28123	29
28131	26
28133	12
28149	10
28151	11
29003	28
29013	49
29017	76
29019	100
29021	25
29025	17
29027	90
29031	28
29037	52
29043	86
29047	37
29049	24
29051	39
29059	18
29063	4
29071	68
29077	36
29095	64
29097	99
29099	165
29107	9
29113	127
29119	96
29135	1
29145	
29151	2
29165	20
29167	41
29177	99
29183	0
29183	84
29189	1165
29219	55
29225	6
29001	7
29005	1
29007	13
29009	34
29011	27
29015	73
29023	77
29029	79
29033	3
29035	30
29039	36
29041	13
29045	10
29053	6
29055	19
29057	28
29061	7
29065	2
29067	17
29069	21
29073	18
29075	4
29079	2
29081	1
29083	50
29085	0
29087	5
29089	8
29091	49
29093	15
29101	32
29103	0
29105	39
29109	50
29111	2
29115	7
29117	1
29121	13
29123	11
29125	10
29127	8
29129	0
29131	57
29133	8
29137	4
29139	11
29141	28
29147	3
29149	11
29153	13
29155	22
29157	35
29159	27
29161	15
29163	1
29169	58
29171	0
29173	19
29175	10
29179	8
29181	13
29195	4
29197	3
29199	4
29201	177
29203	19
29205	0
29185	18
29186	23
29187	62
29207	14
29209	126
29211	7
29213	87
29215	16
29217	61
29221	88
29223	13
29227	1
29229	26
30009	12
30013	22
30037	2
30063	74
30111	63
30001	3
30003	66
30005	9
30007	28
30011	0
30017	6
30019	0
30021	17
30023	33
30025	2
30027	20
30029	162
30031	46
30033	1
30035	15
30039	4
30041	21
30043	34
30045	2
30047	61
30049	73
30051	8
30053	25
30057	8
30055	2
30059	2
30061	4
30065	28
30067	14
30071	10
30073	0
30075	0
30077	6
30079	3
30081	52
30083	11
30085	51
30087	4
30089	9
30091	6
30093	85
30095	10
30097	2
30099	16
30101	19
30103	0
30105	5
30107	9
30109	0
31025	14
31043	13
31051	1
31055	136
31079	32
31081	6
31109	15
31121	3
31153	35
31155	7
31159	5
31177	3
31001	3
31003	7
31005	0
31013	1
31017	0
31019	4
31021	1
31023	3
31027	1
31029	2
31031	0
31033	2
31035	6
31037	0
31039	1
31041	4
31045	2
31047	5
31053	10
31059	1
31061	2
31065	3
31067	20
31071	0
31073	2
31085	2
31087	0
31089	1
31091	0
31099	3
31101	1
31103	0
31105	0
31107	2
31111	17
31119	8
31123	2
31127	7
31131	2
31133	1
31135	0
31137	1
31139	2
31141	13
31145	2
31147	0
31149	0
31151	4
31157	8
31161	12
31163	1
31167	2
31169	1
31173	5
31181	2
31183	3
31185	0
32510	132
32029	41
32031	100
32001	23
32005	54
32007	46
32009	1
32011	5
32013	25
32015	24
32017	2
32019	111
32021	5
32023	55
32027	23
32033	9
33015	4
33017	2
33003	10
33005	0
33009	1
33013	1
34001	0
34003	8
34005	0
34007	8
34007	1012
34009	0
34011	0
34013	48
34015	6
34017	0
34019	0
34021	1
34023	0
34025	2
34027	0
34029	0
34031	0
34033	0
34035	0
34037	0
34039	0
34041	0
35001	580
35013	134
35043	21
35049	89
35057	50
35061	356
35003	7
35005	48
35006	75
35007	10
35009	13
35011	1
35015	36
35023	3
35025	14
35027	19
35029	43
35031	71
35033	5
35035	114
35037	3
35047	8
35051	25
35053	15
35059	2
36001	12
36007	27
36015	12
36027	16
36029	59
36043	2
36045	22
36051	20
36053	7
36059	629
36063	33
36065	25
36067	107
36069	26
36071	13
36073	11
36075	27
36079	9
36083	9
36087	7
36091	67
36093	0
36095	0
36103	63
36103	894
36107	12
36111	24
36113	22
36115	7
36119	63
36123	10
36003	1
36009	14
36011	4
36013	28
36017	14
36019	8
36021	14
36023	1
36025	4
36031	0
36033	0
36035	16
36037	18
36039	7
36041	2
36049	2
36057	14
36077	16
36097	6
36099	4
36101	6
36089	12
36105	25
36121	10
37001	80
37003	67
37021	113
37023	68
37025	15
37027	71
37035	125
37037	38
37053	30
37057	74
37059	50
37063	48
37065	41
37067	221
37069	49
37071	15
37087	124
37097	174
37101	102
37109	69
37115	5
37127	52
37129	94
37135	30
37137	3
37141	38
37145	37
37147	118
37157	44
37159	118
37169	44
37179	117
37183	128
37191	100
37197	46
37007	28
37009	21
37013	53
37029	7
37033	62
37039	25
37041	14
37043	23
37047	53
37055	12
37061	76
37083	52
37085	182
37091	14
37105	31
37107	85
37117	42
37111	19
37123	33
37131	24
37139	29
37143	4
37149	11
37153	124
37161	98
37163	66
37165	40
37167	25
37171	28
37173	14
37175	13
37177	6
37181	50
37189	23
37193	93
37195	45
37199	5
38015	15
38017	6
38035	3
38059	5
38065	0
38085	0
38001	1
38003	0
38005	3
38007	1
38009	4
38011	0
38013	0
38019	1
38021	0
38023	0
38025	1
38027	3
38029	2
38031	0
38033	0
38037	1
38039	0
38041	2
38043	0
38045	1
38047	0
38049	2
38051	0
38053	20
38055	9
38057	8
38061	5
38063	2
38067	2
38069	2
38071	4
38073	5
38075	2
38077	4
38079	5
38081	4
38083	1
38087	0
38089	3
38091	1
38093	0
38097	1
38099	6
38101	17
38103	2
38105	14
39003	7
39013	22
39015	9
39017	22
39023	27
39025	63
39041	25
39045	25
39051	5
39055	9
39057	6
39061	102
39073	8
39081	2
39085	215
39087	47
39093	25
39095	68
39097	8
39099	1
39103	2
39109	10
39113	88
39127	3
39129	23
39133	21
39139	23
39151	49
39153	27
39155	11
39159	9
39165	34
39173	5
39001	3
39005	11
39007	29
39009	11
39021	12
39027	2
39029	9
39031	25
39033	1
39039	5
39043	2
39047	7
39053	14
39063	6
39065	5
39067	3
39069	16
39071	15
39075	0
39079	6
39083	15
39091	10
39101	7
39105	24
39107	7
39111	6
39115	18
39119	12
39121	0
39123	1
39125	5
39131	12
39135	3
39137	4
39141	76
39143	53
39145	16
39147	2
39149	12
39157	5
39161	1
39163	10
39167	23
39169	18
39175	2
40017	11
40027	40
40031	16
40033	2
40037	41
40047	11
40051	27
40079	55
40081	17
40083	20
40087	15
40109	24
40111	27
40113	30
40117	27
40131	67
40135	58
40143	201
40145	49
40001	71
40003	2
40005	1
